Section,KEY,DEFAULT ,JPN
Header,admin,'Admin',管理者
Header,sign_in,'Login',ログイン
Header,sign_up,'Sign Up',登録する
Header,log_out,'Log Out',ログアウト
Header,more,'More',詳細を見る
Footer,copyright,'&copy;',&copy;
Footer,contact_us,'Contact Us',お問い合わせ
Checkout,logged_in,'You are logged in as',You are logged in as
Checkout,with_this_email_address,'with this email address to finish your purchase.',with this email address to finish your purchase.
Checkout,existing_account_detected,'Existing account detected',Existing account detected
Checkout,forgot_your_password_link_text,'Forgot your password?',Forgot your password?
Checkout,password_login_link_title,'Log in',Log in
Checkout,apply,'Apply',適用する
Checkout,invalid_coupon,'Invalid Coupon',無効なクーポンです
Checkout,already_have_account,'Already have an acccount?',Already have an acccount
Checkout,use_this_account,'Use this account to access your purchase.',Use this account to access your purchase.
Checkout,reset_password,'Reset your password',Reset your password
Checkout,login_with_email,'To finish your purchase, use this email address to log in to your account with this business',To finish your purchase, use this email address to log in to your account with this business
Checkout,reset,'Reset',リセット
Checkout,select_course,'Select Course',コースを選択
Checkout,tax_applied,'The transaction total has been updated to reflect added tax based on your shipping country. Please review the new total and confirm your payment.',取引合計は、請求先の国に基づく追加税を反映するように更新されました。新しい合計を確認して、支払いを確認してください。
Checkout,complete_purchase,'Complete Purchase',購入を完了する
Checkout,verify,'Verify',確認する
Checkout,continue,'Continue',続ける
Checkout,buy_now,'Buy Now',今すぐ受講する
Checkout,subscribe,'Subscribe',申し込む
Checkout,place_order,'Place Order',注文する
Checkout,get_it_for_free,'Get it for free',無料で入手
Checkout,subscribe_for_free,'Subscribe for free',無料で購読
Checkout,review_your_order,'Order Summary',注文内容を確認する
Checkout,enter_payment_information,'Payment Information',支払い情報を入力する
Checkout,confirm_payment_information,'Confirm Payment Information',お支払い情報の確認
Checkout,payment_method,'Payment Method',支払い方法
Checkout,change,'Change',変更する
Checkout,cc_statement_name,'This transaction will appear on your statement as',この取引はあなたの明細書に次のように表示されます。
Checkout,credit_card,'Credit or Debit Card',クレジットカード
Checkout,credit_card_aria_label,'Click to select Credit Card payment method',クレジットカード決済を選択してください。
Checkout,paypal,'PayPal',PayPal
Checkout,paypal_aria_label,'Click to select Paypal payment method',Paypal決済を選択してください。
Checkout,paypal_tax_disclaimer,'Where applicable, the final sales tax may be added after you complete the transaction.',該当する場合は、取引完了後に消費税が追加されることがあります。
Checkout,mobile_pay,'Mobile Pay',Apple Pay®またはGoogle Pay™
Checkout,mobile_pay_aria_label,'Click to select Mobile Pay payment method',Apple Pay®またはGoogle Pay™を選択してください。
Checkout,add_new_card,'Add a new Credit Card',新しいクレジットカードを追加
Checkout,use_existing_card,'Use existing Credit Card',既存のクレジットカードを使用
Checkout,checkout_with_paypal,'Checkout with',チェックアウトする
Checkout,card_ends_in,'The card you have on file ends in',お持ちのカードの末尾
Checkout,use_another_card,'Use another card',他のクレジットカードを使用
Checkout,use_card_ending_in,'I'd like to use the card ending in',次のもので終わるカードを使いたい
Checkout,success_message,'You've been enrolled!',あなたのメッセージは、講座のオーナーに送信されました。
Checkout,error_message,'Sorry, there was an error completing your purchase -- please try again.',申し訳ありません。購入手続き中にエラーが発生しました。もう一度お試しください。
Checkout,tax,'Tax Rate',税率
Checkout,tax_detailed,'Est. Tax - %{percent} (%{country_name})',Est. 税金 - %{percent} (%{country_name})
Checkout,coupon_discount,'Coupon Discount',クーポン割引
Checkout,enter_coupon_code,'Coupon code',クーポンコード
Checkout,vat_number_label,'Tax ID Number',税務申告書番号
Checkout,vat_number_tooltip,'Please ensure that your Tax ID is formatted correctly for your country or province.',税務申告書番号があなたの国または地域で正しくフォーマットされていることを確認してください。
Checkout,vat_applied_label,'Tax number applied',適用される税務申告書番号
Checkout,vat_applied_tooltip,'This is an estimate of the tax you'll be charged. When you enter your delivery address, it will be updated. This tax can be removed if you (or your company) have an EU VAT ID and you enter it at the checkout.',推定消費税は、お客様が配送先住所を入力した後、注文概要に追加されます。チェックアウト時に表示される税金はあくまでも概算です。領収書には最終的な税額が記載されます。
Checkout,vat_removed,'Your Tax ID Number has been applied to this purchase.',あなたの税務申告書番号がこの購入に適用されました。
Checkout,add_coupon,'Add Coupon Code',クーポンコードを追加
